"safegraph_brand_id","brand_name","parent_safegraph_brand_id","naics_code","top_category","sub_category","stock_symbol","stock_exchange","iso_country_codes_open","iso_country_codes_closed"
"SG_BRAND_000a715912215622","Good Earth Coffeehouse","","722513","Restaurants and Other Eating Places","Limited-Service Restaurants","","","[CA]","[CA]"
"SG_BRAND_000b4281ac65a291","CareWell Urgent Care","","621493","Outpatient Care Centers","Freestanding Ambulatory Surgical and Emergency Centers","","","[US]","[]"
"SG_BRAND_00212215412d108904aad380c025632e","Kloeckner Metals","","332313","Architectural and Structural Metals Manufacturing","Plate Work Manufacturing","","","[MX,US]","[US]"
"SG_BRAND_0031e43e4f12b969239801d340f7c141","Barnes and Noble","","451211","Book Stores and News Dealers","Book Stores","BKS","NYSE","[US]","[US]"
"SG_BRAND_004007a04c81cea5a72ee68b3c5d45bb","Beef 'O' Brady's","","722511","Restaurants and Other Eating Places","Full-Service Restaurants","","","[US]","[US]"
"SG_BRAND_004070295ea36aacb87aa0c8b643303c","Comfort Inn","SG_BRAND_43d104f5bf19b83c","721110","Traveler Accommodation","Hotels (except Casino Hotels) and Motels","CHH","NYSE","[MX,JP,NZ,TT,DE,DK,GB,IT,FR,SA,CZ,US,PT,CA,ET,NO,SV,AU,ER,BR,SE,IN,LT]","[DE,FR,US,CA,AU]"
"SG_BRAND_0042ddcf1dfda78309cac2609a8e56e0","Ace Hardware","","444130","Building Material and Supplies Dealers","Hardware Stores","","","[ID,PH,MV,PR,US,AE,CA,MY]","[US,CA,ID]"
"SG_BRAND_004b19853e44b08e","Bier Markt","SG_BRAND_fd2fc1323a42d3dd","722511","Restaurants and Other Eating Places","Full-Service Restaurants","","","[CA]","[]"
"SG_BRAND_004cd3b919524855","Cheesetique","","722511","Restaurants and Other Eating Places","Full-Service Restaurants","","","[US]","[]"
"SG_BRAND_00534653800d6b45f86fff2a56176689","Gretchen Scott","","448120","Clothing Stores","Women's Clothing Stores","","","[US]","[US]"
"SG_BRAND_0060f758e92df800","Aritaum","","446120","Health and Personal Care Stores","Cosmetics, Beauty Supplies, and Perfume Stores","","","[US]","[]"
"SG_BRAND_006101baa0a5afb4","Peoples Bank and Trust Kansas","","522110","Depository Credit Intermediation","Commercial Banking","","","[US]","[]"
