"placekey","parent_placekey","safegraph_brand_ids","location_name","brands","store_id","top_category","sub_category","naics_code","latitude","longitude","street_address","city","region","postal_code","open_hours","category_tags","opened_on","closed_on","tracking_closed_on","geometry_type","polygon_wkt","polygon_class","enclosed","phone_number","is_synthetic","includes_parking_lot","iso_country_code","wkt_area_sq_meters","domains","website"
"222-222@33p-2db-s89","","","Tangwick Haa","","","Museums, Historical Sites, and Similar Institutions","","7121","60.489199","-1.62732","Eshaness Lighthouse","Shetland","Shetland","","","","","","","POLYGON","POLYGON ((-1.62734824395454 60.4890810244413, -1.62752074999592 60.4891290016563, -1.62728203114604 60.4893168825355, -1.62712552628917 60.4892699373259, -1.62734824395454 60.4890810244413))","OWNED_POLYGON","false","441806503389","false","false","GB","257","[]",""
"222-222@33p-2dq-789","","SG_BRAND_0ed4abb204103c36","Post Office UK","Post Office UK","16401","Postal Service","Postal Service","491110","60.507777","-1.566613","Uradell","Shetland","Shetland","","{ ""Mon"": [[""9:00"", ""11:00""]], ""Tue"": [], ""Wed"": [], ""Thu"": [[""11:30"", ""13:30""]], ""Fri"": [], ""Sat"": [[""9:00"", ""11:00""]], ""Sun"": [] }","","","","","POLYGON","POLYGON ((-1.56671286182424 60.5077562719018, -1.56670602464677 60.5078320277414, -1.56642425040309 60.5078258160771, -1.56643108823677 60.5077500602526, -1.56671286182424 60.5077562719018))","SHARED_POLYGON","false","","false","false","GB","131","[""postoffice.co.uk""]","https://www.postoffice.co.uk/branch-finder/1518496/eshaness"
"222-222@33p-48k-ghq","","","CU Marketing","","","Advertising, Public Relations, and Related Services","","5418","60.00502","-1.325196","The Cottage","Shetland","Shetland","","","Marketing,Web Design","","","","POLYGON","POLYGON ((-1.32530237950355 60.0050596861512, -1.32518958274553 60.005086586892, -1.32508899270618 60.0049807460054, -1.32520160806388 60.0049539342177, -1.32530237950355 60.0050596861512))","OWNED_POLYGON","false","441950422433","false","false","GB","91","[""cumarketing.co.uk""]",""
"222-222@33p-4zr-26k","","","Tagon Stores","","","Grocery Stores","","4451","60.356554","-1.26544","Tagon","Shetland","Shetland","","","","","","","POLYGON","POLYGON ((-1.26557392488363 60.3565336831328, -1.26548480870706 60.3566038552412, -1.26528809536472 60.3565424314535, -1.26537739099187 60.3564723502544, -1.26557392488363 60.3565336831328))","SHARED_POLYGON","false","441806588286","false","false","GB","118","[]",""
"222-222@33p-55d-5zz","","SG_BRAND_0ed4abb204103c36","Post Office UK","Post Office UK","17023","Postal Service","Postal Service","491110","60.502989","-1.059428","Westerleigh","Shetland","Shetland","","{ ""Mon"": [[""9:00"", ""13:00""]], ""Tue"": [[""9:00"", ""13:00""]], ""Wed"": [[""9:00"", ""13:00""]], ""Thu"": [[""9:00"", ""13:00""]], ""Fri"": [[""9:00"", ""13:00""]], ""Sat"": [], ""Sun"": [] }","","","","","POLYGON","POLYGON ((-1.05935080264121 60.5029609114798, -1.05944567080812 60.5029415568663, -1.05952433650322 60.5030353124162, -1.05942946810819 60.5030546670849, -1.05935080264121 60.5029609114798))","SHARED_POLYGON","false","","false","false","GB","64","[""postoffice.co.uk""]","https://www.postoffice.co.uk/branch-finder/148849X/burravoe"
"222-222@33p-5cy-w49","","","John Irvine","","","Automotive Repair and Maintenance","","8111","60.361756","-0.993133","Houll","Shetland","Shetland","","","Body Shops","","","","POLYGON","POLYGON ((-0.992958829509782 60.3617229667012, -0.993261710368587 60.3616886227595, -0.993307928325093 60.3617888211627, -0.993005046583302 60.3618231652069, -0.992958829509782 60.3617229667012))","OWNED_POLYGON","false","441806566683","false","false","GB","196","[]",""
"222-222@33p-5fs-j9z","zzw-222@33p-5fs-j9z","","Drumquin Guest House","","","Restaurants and Other Eating Places","","7225","60.396466","-1.352765","Brae","Shetland","Shetland","","{ ""Mon"": [[""10:30"", ""18:00""]], ""Tue"": [[""10:30"", ""18:00""]], ""Wed"": [[""10:30"", ""18:00""]], ""Thu"": [[""10:30"", ""18:00""]], ""Fri"": [[""10:30"", ""18:00""]], ""Sat"": [[""10:30"", ""18:00""]], ""Sun"": [[""10:30"", ""18:00""]] }","Cafe,Coffee Shop","","","","POLYGON","POLYGON ((-1.35306437276946 60.3965016297355, -1.35300657922758 60.3965335827914, -1.35256854704247 60.3965969996903, -1.35242134514189 60.3965623445797, -1.35236627209011 60.396475521717, -1.35244321520813 60.3964021801908, -1.3528791852768 60.3963328277186, -1.35297924039776 60.3963658167606, -1.35306437276946 60.3965016297355))","SHARED_POLYGON","true","441806522621","false","false","GB","771","[""drumquinguesthouse.co.uk""]",""
"222-222@33p-5fs-kcq","","","Brae Baptist Church","","12124","Religious Organizations","Religious Organizations","813110","60.213452","-1.384549","Carsaig","Shetland","Shetland","","","","","","","POLYGON","POLYGON ((-1.3847102648716914 60.2134859530123, -1.3844313151341425 60.2135232613156, -1.3843883997899042 60.21341799849369, -1.3846646673184382 60.21338601984797, -1.3847102648716914 60.2134859530123))","OWNED_POLYGON","false","","false","false","GB","185","[]",""
"222-222@33p-5fs-mhq","","","Delting Boat Club","","","Other Amusement and Recreation Industries","","7139","60.395366","-1.35681","Beachview","Shetland","Shetland","","","","","","","POLYGON","POLYGON ((-1.35672523704714 60.3954291569517, -1.35666327994468 60.3953872861697, -1.35689538511288 60.3953031087101, -1.35695752379053 60.3953449802607, -1.35672523704714 60.3954291569517))","OWNED_POLYGON","false","441806522524","false","false","GB","92","[]",""
"222-222@33p-5mp-psq","","","The Booth Vegetarian Cafe","","","Restaurants and Other Eating Places","","7225","60.484783","-1.471627","Gateside","Shetland","Shetland","","","Coffee Shop","","","","POLYGON","POLYGON ((-1.47162101218244 60.4847067989737, -1.47177987960191 60.4847724323108, -1.47163254337476 60.4848593001175, -1.47147349389126 60.4847936658853, -1.47162101218244 60.4847067989737))","OWNED_POLYGON","false","441806503348","false","false","GB","144","[]",""
